V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q13,Q14,Q15,Q16,Q17,Q18,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Do you support/oppose a minimum wage increase?,Do you support/oppose transgender rights?,Do you support/oppose marijuana legalization?,"Last November, students at the Woodrow Wilson School of Princeton demanded that the university re...",Do you support/oppose single-payer healthcare?,Do you support/oppose mandatory minimum sentences?,Do you support/oppose the Iran deal?,Do you support/oppose the TPP (trans-pacific partnership)?,Do you support/oppose a ban on assault rifles?,Do you support/oppose requiring a photo ID to vote?,Do you support/oppose affirmative action?,Do you support/oppose accepting refugees from Syria?,"Do you support/oppose subsidizing energy sources such as wind, solar, and hydro?",Do you support/oppose U.S. support for Israel?,Do you support/oppose U.S. support for Saudi Arabia?,Do you support/oppose Tufts divesting from fossil fuels?,LocationLatitude,LocationLongitude,LocationAccuracy,
R_37VvBbumv2vTeKZ,Default Response Set,Anonymous,,,130.64.161.105,0,2016-03-01 11:54:28,2016-03-01 11:57:29,1,2,2,1,3,3,5,1,3,1,4,2,1,2,5,3,3,42.401901245117,-71.119300842285,-1,
R_spsbaGLRXXdroWd,Default Response Set,Anonymous,,,70.192.5.141,0,2016-03-01 12:05:40,2016-03-01 12:07:43,1,2,1,2,3,3,4,3,3,1,4,2,1,1,2,2,2,42.424697875977,-71.111198425293,-1,
R_3k7Fh1IzWtW5x0t,Default Response Set,Anonymous,,,130.64.25.57,0,2016-03-01 12:11:22,2016-03-01 12:13:14,1,5,1,1,5,3,5,4,3,5,5,4,1,4,2,4,3,42.401901245117,-71.119300842285,-1,
R_5nLgCLn7BgvxnCp,Default Response Set,Anonymous,,,209.6.92.84,0,2016-03-01 12:02:56,2016-03-01 12:20:54,1,2,1,2,3,2,2,3,4,4,3,3,2,2,1,3,3,42.401901245117,-71.119300842285,-1,
R_3EX4T6MbZtVMiBY,Default Response Set,Anonymous,,,130.64.25.59,0,2016-03-01 12:19:13,2016-03-01 12:21:31,1,2,1,2,3,1,4,1,2,1,5,2,1,2,4,5,2,42.401901245117,-71.119300842285,-1,
R_yrUw8q2EAYRMVpf,Default Response Set,Anonymous,,,130.64.25.57,0,2016-03-01 12:37:24,2016-03-01 12:39:31,1,1,1,2,1,1,5,2,4,1,5,1,1,1,3,4,2,42.401901245117,-71.119300842285,-1,
R_2WuMQCxudXXGYCc,Default Response Set,Anonymous,,,130.64.25.62,0,2016-03-01 13:07:12,2016-03-01 13:09:53,1,2,1,2,3,3,4,2,2,1,4,3,2,1,4,4,1,42.401901245117,-71.119300842285,-1,
R_3fjGksz1MSMnyo8,Default Response Set,Anonymous,,,130.64.25.61,0,2016-03-01 12:49:10,2016-03-01 13:11:03,1,1,1,1,3,3,4,2,4,1,4,3,1,1,3,4,2,42.401901245117,-71.119300842285,-1,
R_2YzIGjUitHGsHMh,Default Response Set,Anonymous,,,130.64.177.214,0,2016-03-01 15:19:19,2016-03-01 15:21:26,1,2,2,2,3,3,2,4,2,2,3,2,3,2,1,3,2,42.401901245117,-71.119300842285,-1,
R_3qDxR3yjNxYKtWx,Default Response Set,Anonymous,,,130.64.25.61,0,2016-03-01 15:23:21,2016-03-01 15:25:55,1,1,1,1,4,3,5,1,2,4,4,1,1,1,4,4,4,42.401901245117,-71.119300842285,-1,
R_2w6JTspt3R8Okhw,Default Response Set,Anonymous,,,130.64.149.246,0,2016-03-01 16:07:48,2016-03-01 16:10:30,1,3,2,2,2,3,5,2,3,1,4,2,1,2,4,4,2,42.401901245117,-71.119300842285,-1,
R_3TSwNDNVJYRKDvj,Default Response Set,Anonymous,,,130.64.25.58,0,2016-03-01 16:09:14,2016-03-01 16:12:44,1,2,1,1,3,3,3,3,3,5,3,2,2,1,3,3,1,42.401901245117,-71.119300842285,-1,
R_3jc9FkijfwfW08o,Default Response Set,Anonymous,,,130.64.96.67,0,2016-03-01 17:37:51,2016-03-01 17:39:27,1,4,3,4,5,5,4,2,1,5,4,4,1,5,4,4,5,42.401901245117,-71.119300842285,-1,
R_22xBk1HiZJcPzUN,Default Response Set,Anonymous,,,130.64.17.185,0,2016-03-01 17:40:10,2016-03-01 17:41:47,1,2,1,3,4,2,4,1,3,4,5,2,1,1,4,4,3,42.401901245117,-71.119300842285,-1,
R_sRvwgkwgXGRbr1L,Default Response Set,Anonymous,,,130.64.25.59,0,2016-03-01 17:40:56,2016-03-01 17:42:55,1,1,1,1,2,1,5,2,4,1,5,1,1,1,5,5,1,42.401901245117,-71.119300842285,-1,
R_TckB35FCH2bSkLv,Default Response Set,Anonymous,,,130.64.25.62,0,2016-03-01 17:41:50,2016-03-01 17:43:14,1,2,1,3,4,2,3,3,3,1,4,3,3,3,3,3,3,42.401901245117,-71.119300842285,-1,
R_3scCn173Y1d3rCI,Default Response Set,Anonymous,,,130.64.25.56,0,2016-03-01 17:44:54,2016-03-01 17:46:20,1,4,2,3,4,3,4,1,2,2,1,4,3,2,4,4,5,42.401901245117,-71.119300842285,-1,
R_32JkxM54sqpw7eZ,Default Response Set,Anonymous,,,130.64.25.58,0,2016-03-01 17:45:00,2016-03-01 17:46:53,1,2,1,2,2,3,4,5,2,1,3,2,2,2,1,3,3,42.401901245117,-71.119300842285,-1,
R_3343OUVxhhL0q9W,Default Response Set,Anonymous,,,130.64.25.57,0,2016-03-01 17:45:46,2016-03-01 17:48:00,1,2,1,1,4,2,4,2,3,1,3,2,1,2,3,4,2,42.401901245117,-71.119300842285,-1,
R_3lQfNUeKomS8294,Default Response Set,Anonymous,,,166.172.62.81,0,2016-03-01 17:52:11,2016-03-01 17:53:54,1,2,1,1,3,4,5,1,2,1,4,2,1,1,2,4,3,40.849899291992,-73.876899719238,-1,
R_Dq0aJ4oUhPOAsZX,Default Response Set,Anonymous,,,130.64.25.56,0,2016-03-01 17:54:17,2016-03-01 17:56:34,1,2,1,3,3,4,2,2,3,1,2,3,2,2,2,2,2,42.401901245117,-71.119300842285,-1,
R_2dGTlOy2CHqO9bn,Default Response Set,Anonymous,,,73.16.10.142,0,2016-03-01 17:54:50,2016-03-01 17:58:07,1,2,2,3,1,1,5,2,4,1,3,2,1,1,4,4,2,42.110900878906,-71.184898376465,-1,
R_qJYSap2AtN0ipKV,Default Response Set,Anonymous,,,130.64.98.174,0,2016-03-01 18:02:40,2016-03-01 18:05:19,1,5,3,1,4,5,5,4,4,5,3,5,2,4,4,4,4,42.401901245117,-71.119300842285,-1,
R_3fTzchLaMwcg2sC,Default Response Set,Anonymous,,,130.64.149.52,0,2016-03-01 18:08:51,2016-03-01 18:11:40,1,1,1,2,2,2,5,2,3,1,5,2,1,1,3,3,2,42.401901245117,-71.119300842285,-1,
